sku,name,description,price,sale_price,category,badge,image,stock,brand,usage_info
1435,كارت توك لوكس 6*1,,30,,accessories,,,8,,
1436,استك شعر العاب,,25,,accessories,,,24,,
1437,توكه استك قماش,,22.5,,accessories,,,13,,
1438,كارت توك 4 قطع,,22.5,,accessories,,,33,,
1439,كارت توك 5قطع,,25,,accessories,,,22,,
1440,توكه استك فيونكه لميع,,22.5,,accessories,,,40,,
1441,توكه مشبك فيونكه طويله,,25,,accessories,,,82,,
1442,توكه مشبك بشريط 3*1,,22.5,,accessories,,,11,,
1443,كارت توك 16 قطعه,,25,,accessories,,,6,,
1444,بندانه فيونكه,,22.5,,accessories,,,114,,
1445,توكه فيونكه ساده الوان,,20,,accessories,,,12,,
1446,كارت توكه 3*1 ساده الوان,,20,,accessories,,,19,,
1447,مشبك فيونكه كريز,,25,,accessories,,,11,,
1448,علبة توك 18ق,,22.5,,accessories,,,12,,
1449,كارت توكه مشبك ورده 2* 1,,25,,accessories,,,20,,
1450,توكه مشبك + استك 4*1,,30,,accessories,,,7,,
1451,كارت بنس 3قطع,,25,,accessories,,,22,,
1452,توكه فراشه خرز,,25,,accessories,,,10,,
1453,توكه مشبك سواريه,,25,,accessories,,,12,,
1454,توكه مشبك فيونكه طويل,,55,,accessories,,,32,,
1455,توكه استك لوكس,,35,,accessories,,,90,,
1456,كارت توكه واحد مشبك,,27.5,,accessories,,,56,,
1457,توكه طوق الوان,,27.5,,accessories,,,50,,
1458,توكه توك خرز,,30,,accessories,,,23,,
1459,توك طوق صغيرة,,27.5,,accessories,,,60,,
1460,كارت توك مشبك 4 قطع,,27.5,,accessories,,,90,,
1461,كارت مشبك 6قطع صغير,,30,,accessories,,,72,,
1462,مشبك فرو 4 قطع,,35,,accessories,,,57,,
1463,مشبك 3قطع فواكه,,27.5,,accessories,,,11,,
1464,بنسه دهبي فراشه,,30,,accessories,,,6,,
1465,بنسه فراشه 2*1,,35,,accessories,,,11,,
1466,كلبس فراشه لامع,,30,,accessories,,,64,,
1467,توكه مشبك ماجيك,,35,,accessories,,,50,,
1468,توكه مشبك ماجيك وسط,,30,,accessories,,,52,,
1469,كارت توكه 2مشبك,,30,,accessories,,,110,,
1470,علبة توك لميع,,27.5,,accessories,,,9,,
1471,علبة توك استك الوان,,35,,accessories,,,23,,
1472,مشبك فيونكه بيوتي,,37.5,,accessories,,,105,,
1473,دستة مشط,,20,,accessories,,,6,,
1475,شنطة مكياج,,7.5,,bags,,,59,,
1476,شنطة مكياج,,5.5,,bags,,,10,,
1477,دستة مشط Co284,,10,,accessories,,,19,,
1478,مشط Co290,,15,,accessories,,,8,,
1479,مشط Co295,,20,,accessories,,,18,,
